Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
ما هو النشيد الوطني للولايات المتحدة؟,What is the national anthem of the United States?,الراية المرصعة بالنجوم,The Star-Spangled Banner,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام أُعلن مبدأ مونرو؟,In what year was the Monroe Doctrine announced?,1823,1823,🏛️ التاريخ,أميركي,🏛️ History,American
من كان الرئيس السابع للولايات المتحدة؟,Who was the seventh President of the United States?,أندرو جاكسون,Andrew Jackson,🏛️ التاريخ,أميركي,🏛️ History,American
أي حزب سياسي ساعد أندرو جاكسون في تأسيسه؟,Which political party did Andrew Jackson help establish?,الحزب الديمقراطي,Democratic Party,🏛️ التاريخ,أميركي,🏛️ History,American
أي أمة من السكان الأصليين تأثرت أكثر بعمليات التهجير القسري؟,Which Native American nation was most affected by the forced relocatio?,الشيروكي,Cherokee,🏛️ التاريخ,أميركي,🏛️ History,American
أي ولاية أمريكية كانت جمهورية مستقلة قبل انضمامها إلى الاتحاد؟,Which U.S. state was an independent republic before joining the Union?,تكساس,Texas,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام انضمت تكساس إلى الولايات المتحدة؟,In what year did Texas join the United States?,1845,1845,🏛️ التاريخ,أميركي,🏛️ History,American
أي حرب أدت إلى حصول الولايات المتحدة على كاليفورنيا؟,Which war resulted in the U.S. acquiring California?,الحرب المكسيكية الأمريكية,Mexican-American War,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام بدأت حمى الذهب في كاليفورنيا؟,In what year did the California Gold Rush begin?,1848,1848,🏛️ التاريخ,أميركي,🏛️ History,American
أي ولاية تُعرف باسم الولاية الذهبية؟,Which state became known as the Golden State?,كاليفورنيا,California,🏛️ التاريخ,أميركي,🏛️ History,American
من أصبح الرئيس السادس عشر للولايات المتحدة؟,Who became the 16th President of the United States?,أبراهام لينكولن,Abraham Lincoln,🏛️ التاريخ,أميركي,🏛️ History,American
أي حرب دارت بين الشمال والجنوب من عام 1861 إلى 1865؟,Which war was fought between the North and South from 1861 to 1865?,الحرب الأهلية الأمريكية,American Civil War,🏛️ التاريخ,أميركي,🏛️ History,American
أي الولايات كانت تُشكل الاتحاد؟,Which states made up the Union?,الولايات الشمالية,Northern states,🏛️ التاريخ,أميركي,🏛️ History,American
أي الولايات كانت تُشكل الكونفدرالية؟,Which states made up the Confederacy?,الولايات الجنوبية,Southern states,🏛️ التاريخ,أميركي,🏛️ History,American
من كان رئيس الولايات الكونفدرالية؟,Who was the president of the Confederacy?,جيفرسون ديفيس,Jefferson Davis,🏛️ التاريخ,أميركي,🏛️ History,American
أي وثيقة حررت العبيد في الولايات الكونفدرالية؟,What document freed slaves in Confederate states?,إعلان تحرير العبيد,Emancipation Proclamation,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام صدر إعلان تحرير العبيد؟,In what year was the Emancipation Proclamation issued?,1863,1863,🏛️ التاريخ,أميركي,🏛️ History,American
أي معركة تُعد نقطة التحول في الحرب الأهلية الأمريكية؟,Which battle is considered the turning point of the Civil War?,معركة جيتيسبيرغ,Battle of Gettysburg,🏛️ التاريخ,أميركي,🏛️ History,American
أي جنرال قاد جيش الاتحاد في أواخر الحرب الأهلية؟,Which general commanded the Union Army late in the Civil War?,يوليسيس إس. غرانت,Ulysses S. Grant,🏛️ التاريخ,أميركي,🏛️ History,American
أي رئيس أمريكي اغتيل عام 1865؟,Which president was assassinated in 1865?,أبراهام لينكولن,Abraham Lincoln,🏛️ التاريخ,أميركي,🏛️ History,American
أي تعديل دستوري ألغى العبودية؟,Which amendment abolished slavery?,التعديل الثالث عشر,13th Amendment,🏛️ التاريخ,أميركي,🏛️ History,American
أي تعديل دستوري منح الجنسية للعبيد المحررين؟,Which amendment granted citizenship to former slaves?,التعديل الرابع عشر,14th Amendment,🏛️ التاريخ,أميركي,🏛️ History,American
أي تعديل دستوري منح الرجال الأمريكيين من أصل إفريقي حق التصويت؟,Which amendment gave African American men the right to vote?,التعديل الخامس عشر,15th Amendment,🏛️ التاريخ,أميركي,🏛️ History,American
ما اسم الفترة التي أعقبت الحرب الأهلية لإعادة إعمار الجنوب؟,What period followed the Civil War to rebuild the South?,إعادة الإعمار,Reconstruction,🏛️ التاريخ,أميركي,🏛️ History,American
أي تمثال كان يستقبل المهاجرين القادمين عبر البحر؟,Which statue welcomed immigrants arriving by sea?,تمثال الحرية,Statue of Liberty,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة أهدت تمثال الحرية إلى الولايات المتحدة؟,Which country gifted the Statue of Liberty to the United States?,فرنسا,France,🏛️ التاريخ,أميركي,🏛️ History,American
أي حرب دخلت فيها الولايات المتحدة عام 1917؟,Which war did the U.S. enter in 1917?,الحرب العالمية الأولى,World War I,🏛️ التاريخ,أميركي,🏛️ History,American
من كان رئيس الولايات المتحدة خلال الحرب العالمية الأولى؟,Who was president during World War I?,وودرو ويلسون,Woodrow Wilson,🏛️ التاريخ,أميركي,🏛️ History,American
أي معاهدة أنهت الحرب العالمية الأولى رسميًا؟,Which treaty officially ended World War I?,معاهدة فرساي,Treaty of Versailles,🏛️ التاريخ,أميركي,🏛️ History,American
ما الانهيار الاقتصادي الذي بدأ عام 1929؟,What economic collapse began in 1929?,الكساد الكبير,Great Depression,🏛️ التاريخ,أميركي,🏛️ History,American
ما الحدث الذي أشعل الكساد الكبير؟,Which event triggered the Great Depression?,انهيار سوق الأسهم عام 1929,Stock Market Crash of 1929,🏛️ التاريخ,أميركي,🏛️ History,American
من كان رئيس الولايات المتحدة خلال معظم فترة الكساد الكبير؟,Who was president during most of the Great Depression?,فرانكلين د. روزفلت,Franklin D. Roosevelt,🏛️ التاريخ,أميركي,🏛️ History,American
ماذا كان يُسمى برنامج روزفلت للتعافي الاقتصادي؟,What was Roosevelt's economic recovery program called?,الصفقة الجديدة,New Deal,🏛️ التاريخ,أميركي,🏛️ History,American
ما الحدث الذي أدخل الولايات المتحدة إلى الحرب العالمية الثانية؟,Which event brought the U.S. into World War II?,الهجوم على بيرل هاربر,Attack on Pearl Harbor,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام وقع الهجوم على بيرل هاربر؟,In what year was Pearl Harbor attacked?,1941,1941,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة هاجمت بيرل هاربر؟,Which country attacked Pearl Harbor?,اليابان,Japan,🏛️ التاريخ,أميركي,🏛️ History,American
من كان رئيس الولايات المتحدة خلال معظم الحرب العالمية الثانية؟,Who was president during most of World War II?,فرانكلين د. روزفلت,Franklin D. Roosevelt,🏛️ التاريخ,أميركي,🏛️ History,American
أي رئيس أمريكي أذن باستخدام القنابل الذرية؟,Which president authorized the atomic bombings?,هاري إس. ترومان,Harry S. Truman,🏛️ التاريخ,أميركي,🏛️ History,American
ما أول مدينة يابانية تعرضت لقنبلة ذرية؟,Which Japanese city was the first to be hit by an atomic bomb?,هيروشيما,Hiroshima,🏛️ التاريخ,أميركي,🏛️ History,American
ما المدينة اليابانية التي تعرضت للقصف بعد هيروشيما بثلاثة أيام؟,Which Japanese city was bombed three days after Hiroshima?,ناغازاكي,Nagasaki,🏛️ التاريخ,أميركي,🏛️ History,American
ما الصراع الذي هيمن على السياسة العالمية بعد الحرب العالمية الثانية؟,What rivalry dominated global politics after World War II?,الحرب الباردة,Cold War,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة كانت المنافس الرئيسي للولايات المتحدة في الحرب الباردة؟,Which country was America's main Cold War rival?,الاتحاد السوفيتي,Soviet Union,🏛️ التاريخ,أميركي,🏛️ History,American
أي تحالف عسكري تأسس عام 1949؟,What military alliance was formed in 1949?,حلف شمال الأطلسي (الناتو),NATO,🏛️ التاريخ,أميركي,🏛️ History,American
أي حرب دارت في شبه الجزيرة الكورية بين عامي 1950 و1953؟,Which war was fought on the Korean Peninsula from 1950 to 1953?,الحرب الكورية,Korean War,🏛️ التاريخ,أميركي,🏛️ History,American
ما الصراع الطويل الذي شاركت فيه القوات الأمريكية في جنوب شرق آسيا؟,Which long conflict involved U.S. forces in Southeast Asia?,حرب فيتنام,Vietnam War,🏛️ التاريخ,أميركي,🏛️ History,American
من كان أول إنسان يمشي على سطح القمر؟,Who was the first man to walk on the Moon?,نيل أرمسترونغ,Neil Armstrong,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام هبط الأمريكيون لأول مرة على القمر؟,In what year did Americans first land on the Moon?,1969,1969,🏛️ التاريخ,أميركي,🏛️ History,American
ما اسم أول مهمة هبوط على القمر؟,What was the name of the first Moon landing mission?,أبولو 11,Apollo 11,🏛️ التاريخ,أميركي,🏛️ History,American
من قاد حركة الحقوق المدنية بالاحتجاجات السلمية؟,Who led the Civil Rights Movement with nonviolent protests?,مارتن لوثر كينغ الابن,Martin Luther King Jr.,🏛️ التاريخ,أميركي,🏛️ History,American
ما الخطاب الشهير الذي ألقاه مارتن لوثر كينغ عام 1963؟,What famous speech did Martin Luther King Jr. deliver in 1963?,لدي حلم,I Have a Dream,🏛️ التاريخ,أميركي,🏛️ History,American
أي فضيحة أدت إلى استقالة الرئيس نيكسون؟,Which scandal led to President Nixon's resignation?,ووترغيت,Watergate,🏛️ التاريخ,أميركي,🏛️ History,American
من هو الرئيس الأمريكي الوحيد الذي استقال من منصبه؟,Who was the only U.S. president to resign?,ريتشارد نيكسون,Richard Nixon,🏛️ التاريخ,أميركي,🏛️ History,American
"أي رئيس أمريكي أعلن ""الحرب على الإرهاب"" بعد أحداث 11 سبتمبر؟","Which U.S. president declared the ""War on Terror"" after 9/11?",جورج دبليو بوش,George W. Bush,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام وقعت هجمات 11 سبتمبر؟,On which year did the September 11 attacks occur?,11 سبتمبر 2001,"September 11, 2001",🏛️ التاريخ,أميركي,🏛️ History,American
أي برجين تعرضا للتدمير خلال هجمات 11 سبتمبر؟,Which skyscrapers were destroyed during the September 11 attacks?,برجا مركز التجارة العالمي,World Trade Center Twin Towers,🏛️ التاريخ,أميركي,🏛️ History,American
من أصبح أول رئيس أمريكي من أصل إفريقي؟,Who became the first African American U.S. president?,باراك أوباما,Barack Obama,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام انتُخب باراك أوباما رئيسًا لأول مرة؟,In what year was Barack Obama first elected president?,2008,2008,🏛️ التاريخ,أميركي,🏛️ History,American
"أي وثيقة تبدأ بعبارة ""نحن الشعب""؟","Which document begins with the words ""We the People""?",دستور الولايات المتحدة,United States Constitution,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام تم التوقيع على دستور الولايات المتحدة؟,In what year was the U.S. Constitution signed?,1787,1787,🏛️ التاريخ,أميركي,🏛️ History,American
ما هو القانون الأعلى في الولايات المتحدة؟,What is the supreme law of the United States?,دستور الولايات المتحدة,United States Constitution,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام بدأت حرب الاستقلال الأمريكية؟,In what year did the American Revolutionary War begin?,1775,1775,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام انتهت حرب الاستقلال الأمريكية رسميًا؟,In what year did the American Revolutionary War officially end?,1783,1783,🏛️ التاريخ,أميركي,🏛️ History,American
أي معاهدة أنهت حرب الاستقلال الأمريكية رسميًا؟,Which treaty officially ended the American Revolutionary War?,معاهدة باريس,Treaty of Paris,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة كانت تحكم المستعمرات الثلاث عشرة قبل الاستقلال؟,Which country ruled the Thirteen Colonies before independence?,بريطانيا العظمى,Great Britain,🏛️ التاريخ,أميركي,🏛️ History,American
كم عدد المستعمرات التي أعلنت استقلالها عن بريطانيا؟,How many colonies declared independence from Britain?,13,13,🏛️ التاريخ,أميركي,🏛️ History,American
أي وثيقة أعلنت استقلال الولايات المتحدة؟,What document declared American independence?,إعلان الاستقلال,Declaration of Independence,🏛️ التاريخ,أميركي,🏛️ History,American
في أي تاريخ تم اعتماد إعلان الاستقلال؟,On what date was the Declaration of Independence adopted?,4 يوليو 1776,"July 4, 1776",🏛️ التاريخ,أميركي,🏛️ History,American
من هو المؤلف الرئيسي لإعلان الاستقلال؟,Who was the principal author of the Declaration of Independence?,توماس جيفرسون,Thomas Jefferson,🏛️ التاريخ,أميركي,🏛️ History,American
من كان ملك بريطانيا العظمى خلال معظم الثورة الأمريكية؟,Who was the King of Great Britain during most of the American Revolution?,جورج الثالث,George III,🏛️ التاريخ,أميركي,🏛️ History,American
من تولى قيادة الجيش القاري؟,Who served as commander-in-chief of the Continental Army?,جورج واشنطن,George Washington,🏛️ التاريخ,أميركي,🏛️ History,American
في أي مدينة انعقد المؤتمر القاري الأول؟,Which city was the site of the First Continental Congress?,فيلادلفيا,Philadelphia,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة أصبحت أول حليف رئيسي للولايات المتحدة خلال الثورة؟,Which country became America's first major ally during the Revolution?,فرنسا,France,🏛️ التاريخ,أميركي,🏛️ History,American
أي نبيل فرنسي أصبح حليفًا مقربًا لجورج واشنطن؟,Which French nobleman became a close ally of George Washington?,المركيز دي لافاييت,Marquis de Lafayette,🏛️ التاريخ,أميركي,🏛️ History,American
أي معركة أنهت فعليًا القتال الرئيسي في الثورة الأمريكية؟,Which battle effectively ended major fighting in the Revolution?,معركة يوركتاون,Battle of Yorktown,🏛️ التاريخ,أميركي,🏛️ History,American
في أي ولاية وقعت معركة يوركتاون؟,In which state did the Battle of Yorktown occur?,فرجينيا,Virginia,🏛️ التاريخ,أميركي,🏛️ History,American
من أصبح ثاني رئيس للولايات المتحدة بعد أن ساهم في قيادة الاستقلال؟,Who became the second President of the United States after helping lead independence?,جون آدامز,John Adams,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة أوروبية قدمت دعمًا سريًا للأمريكيين قبل دخول الحرب رسميًا؟,Which European nation secretly aided the Americans before openly joining the war?,فرنسا,France,🏛️ التاريخ,أميركي,🏛️ History,American
كم عدد النجوم التي كانت على أول علم رسمي للولايات المتحدة؟,How many stars were on the first official U.S. flag?,13,13,🏛️ التاريخ,أميركي,🏛️ History,American
أي حيوان أصبح رمزًا لاستقلال الولايات المتحدة؟,What animal became a symbol of American independence?,النسر الأصلع,Bald Eagle,🏛️ التاريخ,أميركي,🏛️ History,American
ما المعركة التي تُعتبر آخر معركة في حرب الاستقلال الأمريكية؟,Which battle is considered the last battle of the Revolutionary War?,معركة يوركتاون,Battle of Yorktown,🏛️ التاريخ,أميركي,🏛️ History,American
ما اللون الرئيسي للزي العسكري البريطاني؟,What was the main color of British military uniforms in the United States?,الأحمر,Red,🏛️ التاريخ,أميركي,🏛️ History,American
